Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Índice;2014M01;100,162
Índice general;Índice;2013M12;101,512
Índice general;Índice;2013M11;101,421
Índice general;Índice;2013M10;101,210
Índice general;Índice;2013M09;100,801
Índice general;Índice;2013M08;100,990
Índice general;Índice;2013M07;100,677
Índice general;Índice;2013M06;101,199
Índice general;Índice;2013M05;101,050
Índice general;Índice;2013M04;100,864
Índice general;Índice;2013M03;100,488
Índice general;Índice;2013M02;100,136
Índice general;Índice;2013M01;99,963
Índice general;Índice;2012M12;101,257
Índice general;Índice;2012M11;101,186
Índice general;Índice;2012M10;101,311
Índice general;Índice;2012M09;100,458
Índice general;Índice;2012M08;99,479
Índice general;Índice;2012M07;98,921
Índice general;Índice;2012M06;99,153
Índice general;Índice;2012M05;99,338
Índice general;Índice;2012M04;99,486
Índice general;Índice;2012M03;98,108
Índice general;Índice;2012M02;97,452
Índice general;Índice;2012M01;97,351
Índice general;Índice;2011M12;98,434
Índice general;Índice;2011M11;98,306
Índice general;Índice;2011M10;97,909
Índice general;Índice;2011M09;97,143
Índice general;Índice;2011M08;96,906
Índice general;Índice;2011M07;96,786
Índice general;Índice;2011M06;97,308
Índice general;Índice;2011M05;97,445
Índice general;Índice;2011M04;97,478
Índice general;Índice;2011M03;96,280
Índice general;Índice;2011M02;95,565
Índice general;Índice;2011M01;95,444
Índice general;Índice;2010M12;96,148
Índice general;Índice;2010M11;95,560
Índice general;Índice;2010M10;95,045
Índice general;Índice;2010M09;94,184
Índice general;Índice;2010M08;94,119
Índice general;Índice;2010M07;93,882
Índice general;Índice;2010M06;94,305
Índice general;Índice;2010M05;94,137
Índice general;Índice;2010M04;93,928
Índice general;Índice;2010M03;92,938
Índice general;Índice;2010M02;92,254
Índice general;Índice;2010M01;92,422
Índice general;Variación mensual;2021M12;1,2
Índice general;Variación mensual;2021M11;0,3
Índice general;Variación mensual;2021M10;1,8
Índice general;Variación mensual;2021M09;0,8
Índice general;Variación mensual;2021M08;0,5
Índice general;Variación mensual;2021M07;-0,8
Índice general;Variación mensual;2021M06;0,5
Índice general;Variación mensual;2021M05;0,5
Índice general;Variación mensual;2021M04;1,2
Índice general;Variación mensual;2021M03;1,0
Índice general;Variación mensual;2021M02;-0,6
Índice general;Variación mensual;2021M01;0,0
Índice general;Variación mensual;2020M12;0,2
Índice general;Variación mensual;2020M11;0,2
Índice general;Variación mensual;2020M10;0,5
Índice general;Variación mensual;2020M09;0,2
Índice general;Variación mensual;2020M08;0,0
Índice general;Variación mensual;2020M07;-0,9
Índice general;Variación mensual;2020M06;0,5
Índice general;Variación mensual;2020M05;0,0
Índice general;Variación mensual;2020M04;0,3
Índice general;Variación mensual;2020M03;-0,4
Índice general;Variación mensual;2020M02;-0,1
Índice general;Variación mensual;2020M01;-1,0
Índice general;Variación mensual;2019M12;-0,1
Índice general;Variación mensual;2019M11;0,2
Índice general;Variación mensual;2019M10;1,0
Índice general;Variación mensual;2019M09;0,0
Índice general;Variación mensual;2019M08;-0,1
Índice general;Variación mensual;2019M07;-0,6
Índice general;Variación mensual;2019M06;-0,1
Índice general;Variación mensual;2019M05;0,2
Índice general;Variación mensual;2019M04;1,0
Índice general;Variación mensual;2019M03;0,4
Índice general;Variación mensual;2019M02;0,2
Índice general;Variación mensual;2019M01;-1,3
Índice general;Variación mensual;2018M12;-0,4
Índice general;Variación mensual;2018M11;-0,1
Índice general;Variación mensual;2018M10;0,9
Índice general;Variación mensual;2018M09;0,2
Índice general;Variación mensual;2018M08;0,1
Índice general;Variación mensual;2018M07;-0,7
Índice general;Variación mensual;2018M06;0,3
Índice general;Variación mensual;2018M05;0,9
Índice general;Variación mensual;2018M04;0,8
Índice general;Variación mensual;2018M03;0,1
Índice general;Variación mensual;2018M02;0,1
Índice general;Variación mensual;2018M01;-1,1
Índice general;Variación mensual;2017M12;0,0
Índice general;Variación mensual;2017M11;0,5
Índice general;Variación mensual;2017M10;0,9
Índice general;Variación mensual;2017M09;0,2
Índice general;Variación mensual;2017M08;0,2
Índice general;Variación mensual;2017M07;-0,7
Índice general;Variación mensual;2017M06;0,0
Índice general;Variación mensual;2017M05;-0,1
Índice general;Variación mensual;2017M04;1,0
Índice general;Variación mensual;2017M03;0,0
Índice general;Variación mensual;2017M02;-0,4
Índice general;Variación mensual;2017M01;-0,5
Índice general;Variación mensual;2016M12;0,6
Índice general;Variación mensual;2016M11;0,4
Índice general;Variación mensual;2016M10;1,1
Índice general;Variación mensual;2016M09;0,0
Índice general;Variación mensual;2016M08;0,1
Índice general;Variación mensual;2016M07;-0,7
Índice general;Variación mensual;2016M06;0,5
Índice general;Variación mensual;2016M05;0,5
Índice general;Variación mensual;2016M04;0,7
Índice general;Variación mensual;2016M03;0,6
Índice general;Variación mensual;2016M02;-0,4
Índice general;Variación mensual;2016M01;-1,9
Índice general;Variación mensual;2015M12;-0,3
Índice general;Variación mensual;2015M11;0,4
Índice general;Variación mensual;2015M10;0,6
Índice general;Variación mensual;2015M09;-0,3
Índice general;Variación mensual;2015M08;-0,3
Índice general;Variación mensual;2015M07;-0,9
Índice general;Variación mensual;2015M06;0,3
Índice general;Variación mensual;2015M05;0,5
Índice general;Variación mensual;2015M04;0,9
Índice general;Variación mensual;2015M03;0,6
Índice general;Variación mensual;2015M02;0,2
Índice general;Variación mensual;2015M01;-1,6
Índice general;Variación mensual;2014M12;-0,6
Índice general;Variación mensual;2014M11;-0,1
Índice general;Variación mensual;2014M10;0,5
Índice general;Variación mensual;2014M09;0,2
Índice general;Variación mensual;2014M08;0,2
Índice general;Variación mensual;2014M07;-0,9
Índice general;Variación mensual;2014M06;0,0
Índice general;Variación mensual;2014M05;0,0
Índice general;Variación mensual;2014M04;0,9
Índice general;Variación mensual;2014M03;0,2
Índice general;Variación mensual;2014M02;0,0
Índice general;Variación mensual;2014M01;-1,3
Índice general;Variación mensual;2013M12;0,1
Índice general;Variación mensual;2013M11;0,2
Índice general;Variación mensual;2013M10;0,4
Índice general;Variación mensual;2013M09;-0,2
Índice general;Variación mensual;2013M08;0,3
Índice general;Variación mensual;2013M07;-0,5
Índice general;Variación mensual;2013M06;0,1
Índice general;Variación mensual;2013M05;0,2
Índice general;Variación mensual;2013M04;0,4
Índice general;Variación mensual;2013M03;0,4
Índice general;Variación mensual;2013M02;0,2
Índice general;Variación mensual;2013M01;-1,3
Índice general;Variación mensual;2012M12;0,1
Índice general;Variación mensual;2012M11;-0,1
Índice general;Variación mensual;2012M10;0,8
Índice general;Variación mensual;2012M09;1,0
Índice general;Variación mensual;2012M08;0,6
Índice general;Variación mensual;2012M07;-0,2
Índice general;Variación mensual;2012M06;-0,2
Índice general;Variación mensual;2012M05;-0,1
Índice general;Variación mensual;2012M04;1,4
Índice general;Variación mensual;2012M03;0,7
Índice general;Variación mensual;2012M02;0,1
Índice general;Variación mensual;2012M01;-1,1
Índice general;Variación mensual;2011M12;0,1
Índice general;Variación mensual;2011M11;0,4
Índice general;Variación mensual;2011M10;0,8
Índice general;Variación mensual;2011M09;0,2
Índice general;Variación mensual;2011M08;0,1
Índice general;Variación mensual;2011M07;-0,5
Índice general;Variación mensual;2011M06;-0,1
Índice general;Variación mensual;2011M05;0,0
Índice general;Variación mensual;2011M04;1,2
Índice general;Variación mensual;2011M03;0,7
Índice general;Variación mensual;2011M02;0,1
Índice general;Variación mensual;2011M01;-0,7
Índice general;Variación mensual;2010M12;0,6
Índice general;Variación mensual;2010M11;0,5
Índice general;Variación mensual;2010M10;0,9
Índice general;Variación mensual;2010M09;0,1
Índice general;Variación mensual;2010M08;0,3
Índice general;Variación mensual;2010M07;-0,4
Índice general;Variación mensual;2010M06;0,2
Índice general;Variación mensual;2010M05;0,2
Índice general;Variación mensual;2010M04;1,1
Índice general;Variación mensual;2010M03;0,7
Índice general;Variación mensual;2010M02;-0,2
Índice general;Variación mensual;2010M01;-1,0
Índice general;Variación anual;2021M12;6,5
Índice general;Variación anual;2021M11;5,5
Índice general;Variación anual;2021M10;5,4
Índice general;Variación anual;2021M09;4,0
Índice general;Variación anual;2021M08;3,3
Índice general;Variación anual;2021M07;2,9
Índice general;Variación anual;2021M06;2,7
Índice general;Variación anual;2021M05;2,7
Índice general;Variación anual;2021M04;2,2
Índice general;Variación anual;2021M03;1,3
Índice general;Variación anual;2021M02;0,0
Índice general;Variación anual;2021M01;0,5
Índice general;Variación anual;2020M12;-0,5
Índice general;Variación anual;2020M11;-0,8
Índice general;Variación anual;2020M10;-0,8
Índice general;Variación anual;2020M09;-0,4
Índice general;Variación anual;2020M08;-0,5
Índice general;Variación anual;2020M07;-0,6
Índice general;Variación anual;2020M06;-0,3
Índice general;Variación anual;2020M05;-0,9
Índice general;Variación anual;2020M04;-0,7
Índice general;Variación anual;2020M03;0,0
Índice general;Variación anual;2020M02;0,7
Índice general;Variación anual;2020M01;1,1
Índice general;Variación anual;2019M12;0,8
Índice general;Variación anual;2019M11;0,4
Índice general;Variación anual;2019M10;0,1
Índice general;Variación anual;2019M09;0,1
Índice general;Variación anual;2019M08;0,3
Índice general;Variación anual;2019M07;0,5
Índice general;Variación anual;2019M06;0,4
Índice general;Variación anual;2019M05;0,8
Índice general;Variación anual;2019M04;1,5
Índice general;Variación anual;2019M03;1,3
Índice general;Variación anual;2019M02;1,1
Índice general;Variación anual;2019M01;1,0
Índice general;Variación anual;2018M12;1,2
Índice general;Variación anual;2018M11;1,7
Índice general;Variación anual;2018M10;2,3
Índice general;Variación anual;2018M09;2,3
Índice general;Variación anual;2018M08;2,2
Índice general;Variación anual;2018M07;2,2
Índice general;Variación anual;2018M06;2,3
Índice general;Variación anual;2018M05;2,1
Índice general;Variación anual;2018M04;1,1
Índice general;Variación anual;2018M03;1,2
Índice general;Variación anual;2018M02;1,1
Índice general;Variación anual;2018M01;0,6
Índice general;Variación anual;2017M12;1,1
Índice general;Variación anual;2017M11;1,7
Índice general;Variación anual;2017M10;1,6
Índice general;Variación anual;2017M09;1,8
Índice general;Variación anual;2017M08;1,6
Índice general;Variación anual;2017M07;1,5
Índice general;Variación anual;2017M06;1,5
Índice general;Variación anual;2017M05;1,9
Índice general;Variación anual;2017M04;2,6
Índice general;Variación anual;2017M03;2,3
Índice general;Variación anual;2017M02;3,0
Índice general;Variación anual;2017M01;3,0
Índice general;Variación anual;2016M12;1,6
Índice general;Variación anual;2016M11;0,7
Índice general;Variación anual;2016M10;0,7
Índice general;Variación anual;2016M09;0,2
Índice general;Variación anual;2016M08;-0,1
Índice general;Variación anual;2016M07;-0,6
Índice general;Variación anual;2016M06;-0,8
Índice general;Variación anual;2016M05;-1,0
Índice general;Variación anual;2016M04;-1,1
Índice general;Variación anual;2016M03;-0,8
Índice general;Variación anual;2016M02;-0,8
Índice general;Variación anual;2016M01;-0,3
Índice general;Variación anual;2015M12;0,0
Índice general;Variación anual;2015M11;-0,3
Índice general;Variación anual;2015M10;-0,7
Índice general;Variación anual;2015M09;-0,9
Índice general;Variación anual;2015M08;-0,4
Índice general;Variación anual;2015M07;0,1
Índice general;Variación anual;2015M06;0,1
Índice general;Variación anual;2015M05;-0,2
Índice general;Variación anual;2015M04;-0,6
Índice general;Variación anual;2015M03;-0,7
Índice general;Variación anual;2015M02;-1,1
Índice general;Variación anual;2015M01;-1,3
Índice general;Variación anual;2014M12;-1,0
Índice general;Variación anual;2014M11;-0,4
Índice general;Variación anual;2014M10;-0,1
Índice general;Variación anual;2014M09;-0,2
Índice general;Variación anual;2014M08;-0,5
Índice general;Variación anual;2014M07;-0,3
Índice general;Variación anual;2014M06;0,1
Índice general;Variación anual;2014M05;0,2
Índice general;Variación anual;2014M04;0,4
Índice general;Variación anual;2014M03;-0,1
Índice general;Variación anual;2014M02;0,0
Índice general;Variación anual;2014M01;0,2
Índice general;Variación anual;2013M12;0,3
Índice general;Variación anual;2013M11;0,2
Índice general;Variación anual;2013M10;-0,1
Índice general;Variación anual;2013M09;0,3
Índice general;Variación anual;2013M08;1,5
Índice general;Variación anual;2013M07;1,8
Índice general;Variación anual;2013M06;2,1
Índice general;Variación anual;2013M05;1,7
Índice general;Variación anual;2013M04;1,4
Índice general;Variación anual;2013M03;2,4
Índice general;Variación anual;2013M02;2,8
Índice general;Variación anual;2013M01;2,7
Índice general;Variación anual;2012M12;2,9
Índice general;Variación anual;2012M11;2,9
Índice general;Variación anual;2012M10;3,5
Índice general;Variación anual;2012M09;3,4
Índice general;Variación anual;2012M08;2,7
Índice general;Variación anual;2012M07;2,2
Índice general;Variación anual;2012M06;1,9
Índice general;Variación anual;2012M05;1,9
Índice general;Variación anual;2012M04;2,1
Índice general;Variación anual;2012M03;1,9
Índice general;Variación anual;2012M02;2,0
Índice general;Variación anual;2012M01;2,0
Índice general;Variación anual;2011M12;2,4
Índice general;Variación anual;2011M11;2,9
Índice general;Variación anual;2011M10;3,0
Índice general;Variación anual;2011M09;3,1
Índice general;Variación anual;2011M08;3,0
Índice general;Variación anual;2011M07;3,1
Índice general;Variación anual;2011M06;3,2
Índice general;Variación anual;2011M05;3,5
Índice general;Variación anual;2011M04;3,8
Índice general;Variación anual;2011M03;3,6
Índice general;Variación anual;2011M02;3,6
Índice general;Variación anual;2011M01;3,3
Índice general;Variación anual;2010M12;3,0
Índice general;Variación anual;2010M11;2,3
Índice general;Variación anual;2010M10;2,3
Índice general;Variación anual;2010M09;2,1
Índice general;Variación anual;2010M08;1,8
Índice general;Variación anual;2010M07;1,9
Índice general;Variación anual;2010M06;1,5
Índice general;Variación anual;2010M05;1,8
Índice general;Variación anual;2010M04;1,5
Índice general;Variación anual;2010M03;1,4
Índice general;Variación anual;2010M02;0,8
Índice general;Variación anual;2010M01;1,0
Índice general;Variación en lo que va de año;2021M12;6,5
Índice general;Variación en lo que va de año;2021M11;5,3
Índice general;Variación en lo que va de año;2021M10;5,0
Índice general;Variación en lo que va de año;2021M09;3,1
Índice general;Variación en lo que va de año;2021M08;2,2
Índice general;Variación en lo que va de año;2021M07;1,8
Índice general;Variación en lo que va de año;2021M06;2,5
Índice general;Variación en lo que va de año;2021M05;2,0
Índice general;Variación en lo que va de año;2021M04;1,6
Índice general;Variación en lo que va de año;2021M03;0,4
Índice general;Variación en lo que va de año;2021M02;-0,6
Índice general;Variación en lo que va de año;2021M01;0,0
Índice general;Variación en lo que va de año;2020M12;-0,5
Índice general;Variación en lo que va de año;2020M11;-0,7
Índice general;Variación en lo que va de año;2020M10;-0,9
Índice general;Variación en lo que va de año;2020M09;-1,4
Índice general;Variación en lo que va de año;2020M08;-1,6
Índice general;Variación en lo que va de año;2020M07;-1,6
Índice general;Variación en lo que va de año;2020M06;-0,7
Índice general;Variación en lo que va de año;2020M05;-1,2
Índice general;Variación en lo que va de año;2020M04;-1,2
Índice general;Variación en lo que va de año;2020M03;-1,5
Índice general;Variación en lo que va de año;2020M02;-1,1
Índice general;Variación en lo que va de año;2020M01;-1,0
Índice general;Variación en lo que va de año;2019M12;0,8
Índice general;Variación en lo que va de año;2019M11;0,9
Índice general;Variación en lo que va de año;2019M10;0,7
Índice general;Variación en lo que va de año;2019M09;-0,3
Índice general;Variación en lo que va de año;2019M08;-0,3
Índice general;Variación en lo que va de año;2019M07;-0,2
Índice general;Variación en lo que va de año;2019M06;0,4
Índice general;Variación en lo que va de año;2019M05;0,5
Índice general;Variación en lo que va de año;2019M04;0,3
Índice general;Variación en lo que va de año;2019M03;-0,7
Índice general;Variación en lo que va de año;2019M02;-1,0
Índice general;Variación en lo que va de año;2019M01;-1,3
Índice general;Variación en lo que va de año;2018M12;1,2
Índice general;Variación en lo que va de año;2018M11;1,6
Índice general;Variación en lo que va de año;2018M10;1,8
Índice general;Variación en lo que va de año;2018M09;0,8
Índice general;Variación en lo que va de año;2018M08;0,6
Índice general;Variación en lo que va de año;2018M07;0,4
Índice general;Variación en lo que va de año;2018M06;1,2
Índice general;Variación en lo que va de año;2018M05;0,9
Índice general;Variación en lo que va de año;2018M04;0,0
Índice general;Variación en lo que va de año;2018M03;-0,8
Índice general;Variación en lo que va de año;2018M02;-0,9
Índice general;Variación en lo que va de año;2018M01;-1,1
Índice general;Variación en lo que va de año;2017M12;1,1
Índice general;Variación en lo que va de año;2017M11;1,1
Índice general;Variación en lo que va de año;2017M10;0,6
Índice general;Variación en lo que va de año;2017M09;-0,3
Índice general;Variación en lo que va de año;2017M08;-0,5
Índice general;Variación en lo que va de año;2017M07;-0,7
Índice general;Variación en lo que va de año;2017M06;0,0
Índice general;Variación en lo que va de año;2017M05;0,0
Índice general;Variación en lo que va de año;2017M04;0,0
Índice general;Variación en lo que va de año;2017M03;-0,9
Índice general;Variación en lo que va de año;2017M02;-0,9
Índice general;Variación en lo que va de año;2017M01;-0,5
Índice general;Variación en lo que va de año;2016M12;1,6
Índice general;Variación en lo que va de año;2016M11;1,0
Índice general;Variación en lo que va de año;2016M10;0,6
Índice general;Variación en lo que va de año;2016M09;-0,5
Índice general;Variación en lo que va de año;2016M08;-0,5
Índice general;Variación en lo que va de año;2016M07;-0,7
Índice general;Variación en lo que va de año;2016M06;0,1
Índice general;Variación en lo que va de año;2016M05;-0,4
Índice general;Variación en lo que va de año;2016M04;-0,9
Índice general;Variación en lo que va de año;2016M03;-1,6
Índice general;Variación en lo que va de año;2016M02;-2,3
Índice general;Variación en lo que va de año;2016M01;-1,9
Índice general;Variación en lo que va de año;2015M12;0,0
Índice general;Variación en lo que va de año;2015M11;0,3
Índice general;Variación en lo que va de año;2015M10;-0,1
Índice general;Variación en lo que va de año;2015M09;-0,7
Índice general;Variación en lo que va de año;2015M08;-0,4
Índice general;Variación en lo que va de año;2015M07;-0,1
Índice general;Variación en lo que va de año;2015M06;0,9
Índice general;Variación en lo que va de año;2015M05;0,6
Índice general;Variación en lo que va de año;2015M04;0,1
Índice general;Variación en lo que va de año;2015M03;-0,8
Índice general;Variación en lo que va de año;2015M02;-1,4
Índice general;Variación en lo que va de año;2015M01;-1,6
Índice general;Variación en lo que va de año;2014M12;-1,0
Índice general;Variación en lo que va de año;2014M11;-0,5
Índice general;Variación en lo que va de año;2014M10;-0,4
Índice general;Variación en lo que va de año;2014M09;-0,9
Índice general;Variación en lo que va de año;2014M08;-1,0
Índice general;Variación en lo que va de año;2014M07;-1,2
Índice general;Variación en lo que va de año;2014M06;-0,2
Índice general;Variación en lo que va de año;2014M05;-0,3
Índice general;Variación en lo que va de año;2014M04;-0,3
Índice general;Variación en lo que va de año;2014M03;-1,2
Índice general;Variación en lo que va de año;2014M02;-1,4
Índice general;Variación en lo que va de año;2014M01;-1,3
Índice general;Variación en lo que va de año;2013M12;0,3
Índice general;Variación en lo que va de año;2013M11;0,2
Índice general;Variación en lo que va de año;2013M10;0,0
Índice general;Variación en lo que va de año;2013M09;-0,4
Índice general;Variación en lo que va de año;2013M08;-0,3
Índice general;Variación en lo que va de año;2013M07;-0,6
Índice general;Variación en lo que va de año;2013M06;-0,1
Índice general;Variación en lo que va de año;2013M05;-0,2
Índice general;Variación en lo que va de año;2013M04;-0,4
Índice general;Variación en lo que va de año;2013M03;-0,8
Índice general;Variación en lo que va de año;2013M02;-1,1
Índice general;Variación en lo que va de año;2013M01;-1,3
Índice general;Variación en lo que va de año;2012M12;2,9
Índice general;Variación en lo que va de año;2012M11;2,8
Índice general;Variación en lo que va de año;2012M10;2,9
Índice general;Variación en lo que va de año;2012M09;2,1
Índice general;Variación en lo que va de año;2012M08;1,1
Índice general;Variación en lo que va de año;2012M07;0,5
Índice general;Variación en lo que va de año;2012M06;0,7
Índice general;Variación en lo que va de año;2012M05;0,9
Índice general;Variación en lo que va de año;2012M04;1,1
Índice general;Variación en lo que va de año;2012M03;-0,3
Índice general;Variación en lo que va de año;2012M02;-1,0
Índice general;Variación en lo que va de año;2012M01;-1,1
Índice general;Variación en lo que va de año;2011M12;2,4
Índice general;Variación en lo que va de año;2011M11;2,2
Índice general;Variación en lo que va de año;2011M10;1,8
Índice general;Variación en lo que va de año;2011M09;1,0
Índice general;Variación en lo que va de año;2011M08;0,8
Índice general;Variación en lo que va de año;2011M07;0,7
Índice general;Variación en lo que va de año;2011M06;1,2
Índice general;Variación en lo que va de año;2011M05;1,3
Índice general;Variación en lo que va de año;2011M04;1,4
Índice general;Variación en lo que va de año;2011M03;0,1
Índice general;Variación en lo que va de año;2011M02;-0,6
Índice general;Variación en lo que va de año;2011M01;-0,7
Índice general;Variación en lo que va de año;2010M12;3,0
Índice general;Variación en lo que va de año;2010M11;2,4
Índice general;Variación en lo que va de año;2010M10;1,8
Índice general;Variación en lo que va de año;2010M09;0,9
Índice general;Variación en lo que va de año;2010M08;0,8
Índice general;Variación en lo que va de año;2010M07;0,6
Índice general;Variación en lo que va de año;2010M06;1,0
Índice general;Variación en lo que va de año;2010M05;0,8
Índice general;Variación en lo que va de año;2010M04;0,6
Índice general;Variación en lo que va de año;2010M03;-0,5
Índice general;Variación en lo que va de año;2010M02;-1,2
Índice general;Variación en lo que va de año;2010M01;-1,0
