Deciles;Sexo;Periodo;Total
Decil 6;Mujeres;2023;2.061,2
Decil 6;Mujeres;2022;1.916,0
Decil 6;Mujeres;2021;1.869,9
Decil 6;Mujeres;2020;1.817,8
Decil 6;Mujeres;2019;1.794,6
Decil 6;Mujeres;2018;1.753,1
Decil 6;Mujeres;2017;1.697,2
Decil 6;Mujeres;2016;1.703,1
Decil 6;Mujeres;2015;1.700,6
Decil 6;Mujeres;2014;1.713,7
Decil 6;Mujeres;2013;1.705,8
Decil 6;Mujeres;2012;1.684,3
Decil 6;Mujeres;2011;1.677,2
Decil 6;Mujeres;2010;1.667,5
Decil 7;Hombres;2024;""
Decil 7;Hombres;2023;2.356,5
Decil 7;Hombres;2022;2.182,1
Decil 7;Hombres;2021;2.147,3
Decil 7;Hombres;2020;2.106,9
Decil 7;Hombres;2019;2.059,8
Decil 7;Hombres;2018;2.017,3
Decil 7;Hombres;2017;1.966,9
Decil 7;Hombres;2016;1.968,1
Decil 7;Hombres;2015;1.961,6
Decil 7;Hombres;2014;1.999,0
Decil 7;Hombres;2013;1.978,1
Decil 7;Hombres;2012;1.943,3
Decil 7;Hombres;2011;1.928,1
Decil 7;Hombres;2010;1.911,0
Decil 7;Mujeres;2024;""
Decil 7;Mujeres;2023;2.357,0
Decil 7;Mujeres;2022;2.181,5
Decil 7;Mujeres;2021;2.149,1
Decil 7;Mujeres;2020;2.108,1
Decil 7;Mujeres;2019;2.056,2
Decil 7;Mujeres;2018;2.017,6
Decil 7;Mujeres;2017;1.975,5
Decil 7;Mujeres;2016;1.971,3
Decil 7;Mujeres;2015;1.958,6
Decil 7;Mujeres;2014;1.993,2
Decil 7;Mujeres;2013;1.981,0
Decil 7;Mujeres;2012;1.943,8
Decil 7;Mujeres;2011;1.924,1
Decil 7;Mujeres;2010;1.926,0
Decil 8;Hombres;2024;""
Decil 8;Hombres;2023;2.780,8
Decil 8;Hombres;2022;2.585,9
Decil 8;Hombres;2021;2.549,1
Decil 8;Hombres;2020;2.534,9
Decil 8;Hombres;2019;2.440,7
Decil 8;Hombres;2018;2.420,1
Decil 8;Hombres;2017;2.357,8
Decil 8;Hombres;2016;2.350,7
Decil 8;Hombres;2015;2.360,6
Decil 8;Hombres;2014;2.380,8
Decil 8;Hombres;2013;2.365,4
Decil 8;Hombres;2012;2.306,9
Decil 8;Hombres;2011;2.290,7
Decil 8;Hombres;2010;2.289,3
Decil 8;Mujeres;2024;""
Decil 8;Mujeres;2023;2.783,2
Decil 8;Mujeres;2022;2.601,3
Decil 8;Mujeres;2021;2.569,6
Decil 8;Mujeres;2020;2.549,3
Decil 8;Mujeres;2019;2.454,4
Decil 8;Mujeres;2018;2.424,9
Decil 8;Mujeres;2017;2.370,7
Decil 8;Mujeres;2016;2.361,1
Decil 8;Mujeres;2015;2.367,8
Decil 8;Mujeres;2014;2.393,2
Decil 8;Mujeres;2013;2.363,2
Decil 8;Mujeres;2012;2.300,3
Decil 8;Mujeres;2011;2.292,7
Decil 8;Mujeres;2010;2.294,8
Decil 9;Hombres;2024;""
Decil 9;Hombres;2023;3.388,5
Decil 9;Hombres;2022;3.165,3
Decil 9;Hombres;2021;3.152,8
Decil 9;Hombres;2020;3.169,3
Decil 9;Hombres;2019;3.038,5
Decil 9;Hombres;2018;3.006,6
Decil 9;Hombres;2017;2.956,6
Decil 9;Hombres;2016;2.921,8
Decil 9;Hombres;2015;2.963,6
Decil 9;Hombres;2014;2.950,3
Decil 9;Hombres;2013;2.912,5
Decil 9;Hombres;2012;2.857,6
Decil 9;Hombres;2011;2.847,4
Decil 9;Hombres;2010;2.845,1
Decil 9;Mujeres;2024;""
Decil 9;Mujeres;2023;3.393,3
Decil 9;Mujeres;2022;3.181,1
Decil 9;Mujeres;2021;3.131,0
Decil 9;Mujeres;2020;3.148,9
Decil 9;Mujeres;2019;3.031,3
Decil 9;Mujeres;2018;3.005,6
Decil 9;Mujeres;2017;2.953,9
Decil 9;Mujeres;2016;2.922,0
Decil 9;Mujeres;2015;2.965,2
Decil 9;Mujeres;2014;2.940,7
Decil 9;Mujeres;2013;2.920,4
Decil 9;Mujeres;2012;2.842,2
Decil 9;Mujeres;2011;2.847,7
Decil 9;Mujeres;2010;2.838,3
Decil 10;Hombres;2024;""
Decil 10;Hombres;2023;5.432,3
Decil 10;Hombres;2022;5.055,1
Decil 10;Hombres;2021;5.117,5
Decil 10;Hombres;2020;5.037,9
Decil 10;Hombres;2019;4.820,3
Decil 10;Hombres;2018;4.889,3
Decil 10;Hombres;2017;4.722,4
Decil 10;Hombres;2016;4.632,6
Decil 10;Hombres;2015;4.858,8
Decil 10;Hombres;2014;4.730,2
Decil 10;Hombres;2013;4.636,5
Decil 10;Hombres;2012;4.548,9
Decil 10;Hombres;2011;4.470,0
Decil 10;Hombres;2010;4.441,4
Decil 10;Mujeres;2024;""
Decil 10;Mujeres;2023;5.311,9
Decil 10;Mujeres;2022;4.912,1
Decil 10;Mujeres;2021;5.027,3
Decil 10;Mujeres;2020;4.848,4
Decil 10;Mujeres;2019;4.564,7
Decil 10;Mujeres;2018;4.637,6
Decil 10;Mujeres;2017;4.460,6
Decil 10;Mujeres;2016;4.447,3
Decil 10;Mujeres;2015;4.641,4
Decil 10;Mujeres;2014;4.377,9
Decil 10;Mujeres;2013;4.450,4
Decil 10;Mujeres;2012;4.442,2
Decil 10;Mujeres;2011;4.310,5
Decil 10;Mujeres;2010;4.177,3
