date,gold_price_eur
2010-09-29,964.1943491581
2010-09-30,959.6375830155
2010-10-01,966.1489441077
2010-10-04,954.7831302116
2010-10-05,979.1510196581
2010-10-06,973.2587054885
2010-10-07,958.2603904648
2010-10-08,965.1087221832
2010-10-11,968.191480501
2010-10-12,969.5095477185
2010-10-13,984.054250192
2010-10-14,985.6621406899
2010-10-15,974.3448135646
2010-10-18,981.930022478
2010-10-19,958.0277062203
2010-10-20,977.7209305393
2010-10-21,948.7103563584
2010-10-22,951.6476619051
2010-10-25,959.7618509677
2010-10-26,959.2121768447
2010-10-27,954.3640043714
2010-10-28,974.0827975742
2010-10-29,984.9696482034
2010-11-01,966.1490872281
2010-11-02,975.0617106171
2010-11-03,952.6168921477
2010-11-04,978.7441730438
2010-11-05,982.0783241113
2010-11-08,996.6052198139
2010-11-09,1016.4658491399
2010-11-10,1015.9004875525
2010-11-11,1018.5383204841
2010-11-12,1002.4221296274
2010-11-15,999.3288219635
2010-11-16,985.8720907421
2010-11-17,990.9163868439
2010-11-18,998.1560956535
2010-11-19,990.0942637149
2010-11-22,987.8217763061
2010-11-23,1012.7241853572
2010-11-24,1025.5975609474
2010-11-26,1021.2346044059
2010-11-29,1031.8763726427
2010-11-30,1056.9350397653
2010-12-01,1067.8048759183
2010-12-02,1057.9120644449
2010-12-03,1063.4099591173
2010-12-06,1054.9363640176
2010-12-07,1059.9147268384
2010-12-08,1043.8152210659
2010-12-09,1050.5761401749
2010-12-10,1045.3818566005
2010-12-13,1058.7901831903
2010-12-14,1047.8154645166
2010-12-15,1036.9774576565
2010-12-16,1036.2965585746
2010-12-17,1041.2427765322
2010-12-20,1052.4120247394
2010-12-21,1058.2387185978
2010-12-22,1059.4320064375
2010-12-23,1052.194825864
2010-12-27,1056.9001392441
2010-12-28,1065.3804215438
2010-12-29,1079.8344221459
2010-12-30,1062.872509318
2010-12-31,1068.3971703234
2011-01-03,1064.986760971
2011-01-04,1032.0553468949
2011-01-05,1030.9976734592
2011-01-06,1042.3462818971
2011-01-07,1054.3197700075
2011-01-10,1065.2905829075
2011-01-11,1067.4929547213
2011-01-12,1067.2383864852
2011-01-13,1056.4156332463
2011-01-14,1018.7763973126
2011-01-18,1029.891923063
2011-01-19,1024.2107790441
2011-01-20,1000.9612082648
2011-01-21,995.6925486653
2011-01-24,987.1856450909
2011-01-25,976.4693507348
2011-01-26,973.9830886722
2011-01-27,961.6278053786
2011-01-28,976.9680715624
2011-01-31,982.7038271144
2011-02-01,976.8228686191
2011-02-02,962.7677431739
2011-02-03,978.6595583334
2011-02-04,989.6117333586
2011-02-07,992.7095494466
2011-02-08,1003.094293261
2011-02-09,1001.5448721397
2011-02-10,992.566332931
2011-02-11,999.7848598126
2011-02-14,1010.0633379587
2011-02-15,1018.9089554067
2011-02-16,1018.4052353845
2011-02-17,1020.0115692059
2011-02-18,1018.7860841162
2011-02-22,1023.5834433523
2011-02-23,1033.6618225815
2011-02-24,1028.2579874619
2011-02-25,1019.3212203184
2011-02-28,1026.1113299438
