fecha,indicador,indicador_codigo,valor,unidad,geografia,fuente
2010-02-16,IBEX 35,IBEX35,10393.8897,Puntos,España,Yahoo Finance
2010-02-16,Tipo Cambio EUR/USD,EURUSD,1.3767,USD/EUR,Global,Yahoo Finance
2010-02-16,Precio Oro EUR,XAU_EUR,813.026,EUR/oz,Global,Yahoo Finance
2010-02-16,Precio Oro USD,XAU_USD,1119.3001,USD/oz,Global,Yahoo Finance
2010-02-17,Precio Oro USD,XAU_USD,1119.5,USD/oz,Global,Yahoo Finance
2010-02-17,Tipo Cambio EUR/USD,EURUSD,1.3607,USD/EUR,Global,Yahoo Finance
2010-02-17,Precio Oro EUR,XAU_EUR,822.743,EUR/oz,Global,Yahoo Finance
2010-02-17,IBEX 35,IBEX35,10498.5889,Puntos,España,Yahoo Finance
2010-02-18,IBEX 35,IBEX35,10574.1895,Puntos,España,Yahoo Finance
2010-02-18,Tipo Cambio EUR/USD,EURUSD,1.3462,USD/EUR,Global,Yahoo Finance
2010-02-18,Precio Oro EUR,XAU_EUR,830.5175,EUR/oz,Global,Yahoo Finance
2010-02-18,Precio Oro USD,XAU_USD,1118.0,USD/oz,Global,Yahoo Finance
2010-02-19,Precio Oro USD,XAU_USD,1121.3001,USD/oz,Global,Yahoo Finance
2010-02-19,Tipo Cambio EUR/USD,EURUSD,1.3615,USD/EUR,Global,Yahoo Finance
2010-02-19,Precio Oro EUR,XAU_EUR,823.5725,EUR/oz,Global,Yahoo Finance
2010-02-19,IBEX 35,IBEX35,10676.6895,Puntos,España,Yahoo Finance
2010-02-22,IBEX 35,IBEX35,10570.4893,Puntos,España,Yahoo Finance
2010-02-22,Tipo Cambio EUR/USD,EURUSD,1.3606,USD/EUR,Global,Yahoo Finance
2010-02-22,Precio Oro EUR,XAU_EUR,817.7499,EUR/oz,Global,Yahoo Finance
2010-02-22,Precio Oro USD,XAU_USD,1112.6,USD/oz,Global,Yahoo Finance
2010-02-23,Tipo Cambio EUR/USD,EURUSD,1.3527,USD/EUR,Global,Yahoo Finance
2010-02-23,Precio Oro EUR,XAU_EUR,815.182,EUR/oz,Global,Yahoo Finance
2010-02-23,Precio Oro USD,XAU_USD,1102.7,USD/oz,Global,Yahoo Finance
2010-02-23,IBEX 35,IBEX35,10312.8897,Puntos,España,Yahoo Finance
2010-02-24,IBEX 35,IBEX35,10253.9893,Puntos,España,Yahoo Finance
2010-02-24,Tipo Cambio EUR/USD,EURUSD,1.3543,USD/EUR,Global,Yahoo Finance
2010-02-24,Precio Oro EUR,XAU_EUR,809.6337,EUR/oz,Global,Yahoo Finance
2010-02-24,Precio Oro USD,XAU_USD,1096.5,USD/oz,Global,Yahoo Finance
2010-02-25,Tipo Cambio EUR/USD,EURUSD,1.3536,USD/EUR,Global,Yahoo Finance
2010-02-25,Precio Oro EUR,XAU_EUR,818.4095,EUR/oz,Global,Yahoo Finance
2010-02-25,IBEX 35,IBEX35,10126.1895,Puntos,España,Yahoo Finance
2010-02-25,Precio Oro USD,XAU_USD,1107.8001,USD/oz,Global,Yahoo Finance
2010-02-26,Precio Oro USD,XAU_USD,1118.3001,USD/oz,Global,Yahoo Finance
2010-02-26,IBEX 35,IBEX35,10333.5889,Puntos,España,Yahoo Finance
2010-02-26,Tipo Cambio EUR/USD,EURUSD,1.3631,USD/EUR,Global,Yahoo Finance
2010-02-26,Precio Oro EUR,XAU_EUR,820.4073,EUR/oz,Global,Yahoo Finance
2010-03-01,Tipo Cambio EUR/USD,EURUSD,1.3562,USD/EUR,Global,Yahoo Finance
2010-03-01,Precio Oro EUR,XAU_EUR,824.2098,EUR/oz,Global,Yahoo Finance
2010-03-01,IBEX 35,IBEX35,10434.8897,Puntos,España,Yahoo Finance
2010-03-01,Precio Oro USD,XAU_USD,1117.8001,USD/oz,Global,Yahoo Finance
2010-03-02,Precio Oro USD,XAU_USD,1136.9,USD/oz,Global,Yahoo Finance
2010-03-02,IBEX 35,IBEX35,10521.4893,Puntos,España,Yahoo Finance
2010-03-02,Tipo Cambio EUR/USD,EURUSD,1.3621,USD/EUR,Global,Yahoo Finance
2010-03-02,Precio Oro EUR,XAU_EUR,834.6892,EUR/oz,Global,Yahoo Finance
2010-03-03,Tipo Cambio EUR/USD,EURUSD,1.3702,USD/EUR,Global,Yahoo Finance
2010-03-03,Precio Oro EUR,XAU_EUR,833.9881,EUR/oz,Global,Yahoo Finance
2010-03-03,IBEX 35,IBEX35,10664.4893,Puntos,España,Yahoo Finance
2010-03-03,Precio Oro USD,XAU_USD,1142.7,USD/oz,Global,Yahoo Finance
2010-03-04,Precio Oro USD,XAU_USD,1132.6,USD/oz,Global,Yahoo Finance
2010-03-04,IBEX 35,IBEX35,10745.2891,Puntos,España,Yahoo Finance
2010-03-04,Tipo Cambio EUR/USD,EURUSD,1.3584,USD/EUR,Global,Yahoo Finance
2010-03-04,Precio Oro EUR,XAU_EUR,833.7748,EUR/oz,Global,Yahoo Finance
2010-03-05,Tipo Cambio EUR/USD,EURUSD,1.3629,USD/EUR,Global,Yahoo Finance
2010-03-05,Precio Oro EUR,XAU_EUR,832.6368,EUR/oz,Global,Yahoo Finance
2010-03-05,IBEX 35,IBEX35,11019.7891,Puntos,España,Yahoo Finance
2010-03-05,Precio Oro USD,XAU_USD,1134.8001,USD/oz,Global,Yahoo Finance
2010-03-08,Precio Oro USD,XAU_USD,1123.6,USD/oz,Global,Yahoo Finance
2010-03-08,IBEX 35,IBEX35,11078.2891,Puntos,España,Yahoo Finance
2010-03-08,Tipo Cambio EUR/USD,EURUSD,1.3617,USD/EUR,Global,Yahoo Finance
2010-03-08,Precio Oro EUR,XAU_EUR,825.1494,EUR/oz,Global,Yahoo Finance
2010-03-09,Tipo Cambio EUR/USD,EURUSD,1.3607,USD/EUR,Global,Yahoo Finance
2010-03-09,Precio Oro EUR,XAU_EUR,824.5803,EUR/oz,Global,Yahoo Finance
2010-03-09,IBEX 35,IBEX35,11002.7891,Puntos,España,Yahoo Finance
2010-03-09,Precio Oro USD,XAU_USD,1122.0,USD/oz,Global,Yahoo Finance
2010-03-10,Precio Oro USD,XAU_USD,1107.8001,USD/oz,Global,Yahoo Finance
2010-03-10,IBEX 35,IBEX35,11120.9883,Puntos,España,Yahoo Finance
2010-03-10,Tipo Cambio EUR/USD,EURUSD,1.3643,USD/EUR,Global,Yahoo Finance
2010-03-10,Precio Oro EUR,XAU_EUR,811.9731,EUR/oz,Global,Yahoo Finance
2010-03-11,Tipo Cambio EUR/USD,EURUSD,1.3685,USD/EUR,Global,Yahoo Finance
2010-03-11,Precio Oro EUR,XAU_EUR,809.6267,EUR/oz,Global,Yahoo Finance
2010-03-11,IBEX 35,IBEX35,11045.3897,Puntos,España,Yahoo Finance
2010-03-11,Precio Oro USD,XAU_USD,1108.0,USD/oz,Global,Yahoo Finance
2010-03-12,IBEX 35,IBEX35,11076.9893,Puntos,España,Yahoo Finance
2010-03-12,Tipo Cambio EUR/USD,EURUSD,1.377,USD/EUR,Global,Yahoo Finance
2010-03-12,Precio Oro EUR,XAU_EUR,799.9313,EUR/oz,Global,Yahoo Finance
2010-03-12,Precio Oro USD,XAU_USD,1101.5,USD/oz,Global,Yahoo Finance
2010-03-15,Tipo Cambio EUR/USD,EURUSD,1.3678,USD/EUR,Global,Yahoo Finance
2010-03-15,Precio Oro EUR,XAU_EUR,807.9718,EUR/oz,Global,Yahoo Finance
2010-03-15,Precio Oro USD,XAU_USD,1105.1,USD/oz,Global,Yahoo Finance
2010-03-15,IBEX 35,IBEX35,10957.7891,Puntos,España,Yahoo Finance
2010-03-16,IBEX 35,IBEX35,11059.2891,Puntos,España,Yahoo Finance
2010-03-16,Tipo Cambio EUR/USD,EURUSD,1.3769,USD/EUR,Global,Yahoo Finance
2010-03-16,Precio Oro EUR,XAU_EUR,815.0314,EUR/oz,Global,Yahoo Finance
2010-03-16,Precio Oro USD,XAU_USD,1122.2,USD/oz,Global,Yahoo Finance
2010-03-17,Precio Oro USD,XAU_USD,1124.0,USD/oz,Global,Yahoo Finance
2010-03-17,Tipo Cambio EUR/USD,EURUSD,1.3738,USD/EUR,Global,Yahoo Finance
2010-03-17,Precio Oro EUR,XAU_EUR,818.1484,EUR/oz,Global,Yahoo Finance
2010-03-17,IBEX 35,IBEX35,11166.7881,Puntos,España,Yahoo Finance
2010-03-18,IBEX 35,IBEX35,11073.4893,Puntos,España,Yahoo Finance
2010-03-18,Tipo Cambio EUR/USD,EURUSD,1.3614,USD/EUR,Global,Yahoo Finance
2010-03-18,Precio Oro EUR,XAU_EUR,828.1204,EUR/oz,Global,Yahoo Finance
2010-03-18,Precio Oro USD,XAU_USD,1127.4,USD/oz,Global,Yahoo Finance
2010-03-19,Precio Oro USD,XAU_USD,1107.4,USD/oz,Global,Yahoo Finance
2010-03-19,Tipo Cambio EUR/USD,EURUSD,1.3537,USD/EUR,Global,Yahoo Finance
2010-03-19,Precio Oro EUR,XAU_EUR,818.0585,EUR/oz,Global,Yahoo Finance
